rank,nm_id,product_name,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,feedbacks_count_raw,review_rating,wb_product_name,wb_brand,reviews_source,reviews_fetched_at,novelty_relevance_score,demand_score,efficiency_score,quality_score,momentum_score,price_score,orders_total,order_amount_total,buyouts_total,buyout_amount_total,impressions_total,clicks_total,carts_total,orders_per_1000_impressions,ctr_calc,cart_conv_calc,order_conv_calc,buyout_rate_calc,cancel_rate_calc,median_price,avg_position,recent14_orders,orders_growth_14d,impressions_growth_14d,zero_order_day_share,days
1,158525642,Блендер погружной измельчитель 3 в 1,https://www.wildberries.ru/catalog/158525642/detail.aspx,23642.0,2023-04-25,1161,2023-04-25T08:29:46.709327Z,2026-06-26T10:57:18.16925Z,800572915,Блендер погружной измельчитель 3 в 1,ok,https://basket-10.wbbasket.ru/vol1585/part158525/158525642/info/ru/card.json,23642.0,4.7,Блендер погружной измельчитель 3 в 1,Scarlett,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,78.565,0.98,0.8983999999999999,0.435,0.772,0.37,13517.0,26193452.0,11000.0,21384297.0,4128240.0,288126.0,53791.0,3.274276689339767,6.979390733096913,18.669262753101073,4.6913503120162705,81.37900421691204,15.425020344751053,1434.0,4.5,1882.0,0.0203846153846153,-0.2302567338137119,0.0,90
2,554546424,,https://www.wildberries.ru/catalog/554546424/detail.aspx,993.0,2025-10-05,267,2025-10-05T11:27:39.046513Z,2026-06-22T11:51:10.873822Z,583423482,Блендер погружной мощный с чашей и стаканом 4в1,ok,https://basket-29.wbbasket.ru/vol5545/part554546/554546424/info/ru/card.json,993.0,4.8,Блендер погружной мощный с чашей и стаканом 4в1,Bocsh,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,77.817,0.8492000000000002,0.7552,0.707,0.614,0.94,5695.0,16264674.0,4919.0,14045757.0,2282662.0,175584.0,25701.0,2.4948941192344725,7.692071800380433,14.637438490978678,3.243461818844542,86.37401229148377,12.010535557506586,2786.5,11.577777777777778,582.0,-0.0213464696223317,-0.4581348488419571,0.0,90
3,767075015,Блендер портативный для смузи и коктейлей 2 в 1,https://www.wildberries.ru/catalog/767075015/detail.aspx,1871.0,2026-01-19,161,2026-01-19T14:11:15.726171Z,2026-06-24T12:02:37.617531Z,790067487,Блендер портативный для смузи и коктейлей 2 в 1,ok,https://basket-35.wbbasket.ru/vol7670/part767075/767075015/info/ru/card.json,1871.0,4.9,Блендер портативный для смузи и коктейлей 2 в 1,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,77.205,0.962,0.8248,0.4629999999999999,0.8180000000000001,0.37,11211.0,22396658.0,8936.0,17984919.0,4446376.0,307517.0,46678.0,2.521379208595944,6.91612675131388,15.17899823424396,3.645652110289838,79.70743020247971,13.995183302113997,1434.0,4.666666666666667,1943.0,0.0464289808552103,0.108217698375355,0.0111111111111111,90
4,918057411,Блендер погружной мощный кухонный,https://www.wildberries.ru/catalog/918057411/detail.aspx,5363.0,2026-03-27,94,2026-03-27T11:16:24.148866Z,2026-06-29T11:37:55.464039Z,1207894053,Блендер погружной мощный кухонный,ok,https://basket-40.wbbasket.ru/vol9180/part918057/918057411/info/ru/card.json,5363.0,5.0,Блендер погружной мощный кухонный,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,70.64300000000001,0.9248,0.7884,0.6170000000000001,0.114,0.76,7841.0,23636035.0,6939.0,20916025.0,3509443.0,154172.0,29575.0,2.234257687046064,4.393061804964492,19.18312015151908,5.0858781101626755,88.49636525953322,10.572631041958934,2286.0,10.428571428571429,96.0,-0.8929948811443797,-0.8157426618415762,0.1111111111111111,90
5,262683065,,https://www.wildberries.ru/catalog/262683065/detail.aspx,1812.0,2024-09-19,648,2024-09-19T12:30:59.100589Z,2026-05-25T08:32:27.487376Z,240317889,Блендер для смузи стационарный 2 в 1 мощный,ok,https://basket-17.wbbasket.ru/vol2626/part262683/262683065/info/ru/card.json,1812.0,4.5,Блендер для смузи стационарный 2 в 1 мощный,ARIGATO,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,69.558,0.8468,0.7548,0.321,0.629,0.68,6139.0,15590687.0,4743.0,11981798.0,2562763.0,149412.0,30344.0,2.395461460931034,5.830113826366309,20.308944395363156,4.108773057050303,77.2601400879622,15.018732692620947,2026.5,17.144444444444446,988.0,-0.2754880694143167,0.0174185320187338,0.0,90
6,525020543,,https://www.wildberries.ru/catalog/525020543/detail.aspx,1062.0,2025-09-08,294,2025-09-08T09:35:07.210301Z,2026-06-29T10:24:05.744578Z,532593361,Блендер стационарный с кофемолкой 1200 Вт,ok,https://basket-28.wbbasket.ru/vol5250/part525020/525020543/info/ru/card.json,1062.0,4.6,Блендер стационарный с кофемолкой 1200 Вт,GT,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,65.882,0.6812,0.8240000000000001,0.4559999999999999,0.6399999999999999,0.5,4511.0,10479346.0,3832.0,8868184.0,1525243.0,90536.0,17818.0,2.9575615164272184,5.935841043033799,19.680569055403375,4.982548378545551,84.94790512081578,16.049656395477722,1744.0,21.244444444444444,495.0,0.4584527220630372,-0.4924952665098399,0.0,90
7,495982950,,https://www.wildberries.ru/catalog/495982950/detail.aspx,658.0,2025-08-14,319,2025-08-14T17:33:02.853634Z,2026-03-09T23:33:57.470437Z,503303368,Блендер погружной для измельчения и смешивания,ok,https://basket-27.wbbasket.ru/vol4959/part495982/495982950/info/ru/card.json,658.0,4.8,Блендер погружной для измельчения и смешивания,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,65.53200000000001,0.5612,0.776,0.885,0.481,0.6,3271.0,8137165.0,2847.0,7079622.0,1416962.0,71246.0,12777.0,2.308459930470965,5.028081204718263,17.93363837969851,4.5911349409089635,87.03760317945583,9.202078874961789,1964.0,12.755555555555556,454.0,-0.26875,-0.5753512202882173,0.0,90
8,827570318,,https://www.wildberries.ru/catalog/827570318/detail.aspx,1871.0,2026-02-14,135,2026-02-14T22:28:05.469196Z,2026-06-24T12:02:37.61756Z,790067487,Блендер портативный для смузи и коктейлей 2 в 1,ok,https://basket-37.wbbasket.ru/vol8275/part827570/827570318/info/ru/card.json,1871.0,4.9,Блендер портативный для смузи и коктейлей 2 в 1,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,64.778,0.7948,0.764,0.434,0.53,0.34,6100.0,11954475.0,5018.0,9855267.0,2076730.0,171001.0,21387.0,2.937310098086896,8.234146952179628,12.506944403833897,3.5672306009906376,82.26229508196722,12.524590163934429,1386.0,6.7444444444444445,1057.0,-0.2119205298013244,-0.2380317761441784,0.1777777777777777,90
9,316171067,,https://www.wildberries.ru/catalog/316171067/detail.aspx,1523.0,2025-01-20,525,2025-01-20T11:04:09.99661Z,2026-06-19T18:59:27.85049Z,200103221,Блендер погружной измельчитель мощный электрический,ok,https://basket-19.wbbasket.ru/vol3161/part316171/316171067/info/ru/card.json,1523.0,4.9,Блендер погружной измельчитель мощный электрический,FELFRI,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,63.892,0.5032000000000001,0.6128000000000001,0.8160000000000001,0.648,0.9,2226.0,7459391.0,2009.0,6726804.0,2062368.0,57606.0,9278.0,1.0793418051482568,2.793196946422753,16.105961184598826,3.8641808144984897,90.25157232704404,11.769991015274034,2561.0,11.933333333333334,400.0,0.1965317919075144,-0.3976528384279476,0.0,90
10,13433791,,https://www.wildberries.ru/catalog/13433791/detail.aspx,4530.0,2020-07-07,2183,2020-07-07T18:14:33Z,2026-04-20T11:18:00.524574Z,272258731,Блендер погружной мощный измельчитель для смузи и коктейлей,ok,https://basket-01.wbbasket.ru/vol134/part13433/13433791/info/ru/card.json,4530.0,4.7,Блендер погружной мощный измельчитель для смузи и коктейлей,Astix,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,63.467,0.7992,0.6083999999999999,0.487,0.572,0.44,5097.0,11071499.0,4243.0,9183403.0,3162961.0,184823.0,24718.0,1.6114647003235258,5.843353743533354,13.373876627908864,2.7577736537119297,83.24504610555229,12.63488326466549,1567.0,16.211111111111112,1129.0,-0.18875583519383,-0.2694027757397736,0.0,90
11,695425492,,https://www.wildberries.ru/catalog/695425492/detail.aspx,,2025-12-09,202,2025-12-09T13:49:53.068924Z,2026-06-29T10:39:31.354161Z,572414155,Стационарный блендер для смузи и коктейлей,ok,https://basket-33.wbbasket.ru/vol6954/part695425/695425492/info/ru/card.json,,,,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,63.453,0.7467999999999999,0.5432,0.5660000000000001,0.523,0.74,3426.0,14747795.0,2895.0,12331778.0,1850502.0,184996.0,16645.0,1.8513895148451611,9.99707106504073,8.997491837661356,1.8519319336634303,84.50087565674255,13.660245183887914,3315.0,9.577777777777778,531.0,-0.3747639766850012,-0.228673618804213,0.0,90
12,706082247,,https://www.wildberries.ru/catalog/706082247/detail.aspx,2579.0,2025-12-15,196,2025-12-15T08:55:47.015289Z,2026-06-24T08:14:07.758275Z,1670099544,Блендер ручной погружной Bt HB721SS Черно-серый,ok,https://basket-33.wbbasket.ru/vol7060/part706082/706082247/info/ru/card.json,2579.0,4.7,Блендер ручной погружной Bt HB721SS Черно-серый,Blackton,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,61.74799999999999,0.6727999999999998,0.7904,0.416,0.6399999999999998,0.26,7212.0,6580626.0,5903.0,5367883.0,2259644.0,163594.0,24678.0,3.1916531984684315,7.239812997091577,15.084905314375831,4.408474638434172,81.84969495285635,14.073765945646146,681.0,30.6,1122.0,-0.1744186046511628,0.0674961102374082,0.0,90
13,291892830,,https://www.wildberries.ru/catalog/291892830/detail.aspx,2052.0,2024-11-26,580,2024-11-26T11:11:50.787844Z,2026-06-03T11:12:20.915544Z,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",ok,https://basket-18.wbbasket.ru/vol2918/part291892/291892830/info/ru/card.json,2052.0,4.7,"Блендер погружной мощный, кухонный комбайн для смузи",Mojo,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,58.828,0.7948000000000001,0.2472,0.664,0.778,0.32,3055.0,17723860.0,2471.0,14374781.0,6260728.0,200980.0,20402.0,0.4879624222614367,3.2101698077284304,10.15125883172455,1.520051746442432,80.88379705400982,10.965630114566286,4263.0,18.566666666666663,529.0,0.0222282096187525,1.8201008923564592,0.0,90
14,933956465,,https://www.wildberries.ru/catalog/933956465/detail.aspx,,2026-04-02,88,2026-04-02T15:38:22.294865Z,2026-06-29T10:39:31.354161Z,572414155,Стационарный блендер для смузи и коктейлей,ok,https://basket-40.wbbasket.ru/vol9339/part933956/933956465/info/ru/card.json,,,,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,58.54699999999998,0.7831999999999999,0.4036,0.246,0.5169999999999999,0.96,3460.0,13163580.0,2723.0,10291814.0,3825928.0,194166.0,22363.0,0.9043557536890396,5.075004025167227,11.517464437646138,1.781980367314566,78.69942196531792,14.335260115606935,2733.0,13.10126582278481,563.0,-0.3400981996726677,1.9020984448225424,0.1888888888888888,90
15,883929252,Блендер стационарный для коктейлей и смузи,https://www.wildberries.ru/catalog/883929252/detail.aspx,,2026-03-13,108,2026-03-13T08:57:15.027963Z,2026-06-29T10:39:31.354161Z,572414155,Блендер стационарный для коктейлей и смузи,ok,https://basket-39.wbbasket.ru/vol8839/part883929/883929252/info/ru/card.json,,,,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,58.51,0.7959999999999999,0.5824,0.111,0.375,0.88,4338.0,13517473.0,3048.0,9408528.0,2293982.0,214300.0,23308.0,1.8910348904219825,9.341834417183744,10.876341577228184,2.0242650489967335,70.26279391424619,18.74135546334717,2484.0,11.033333333333331,674.0,-0.6011611030478955,-0.3691641108569756,0.0444444444444444,90
16,585130046,,https://www.wildberries.ru/catalog/585130046/detail.aspx,7211.0,2025-10-28,244,2025-10-28T15:50:28.860044Z,2026-06-29T10:39:05.148621Z,2850284356,Стационарный блендер для смузи и коктейлей,ok,https://basket-30.wbbasket.ru/vol5851/part585130/585130046/info/ru/card.json,7211.0,5.0,Стационарный блендер для смузи и коктейлей,Doxel,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,57.962,0.8612,0.4168,0.344,0.536,0.42,3831.0,20217102.0,3040.0,15925023.0,4197761.0,219382.0,20951.0,0.9126293755170912,5.2261669971206075,9.550008660692308,1.7462690649187262,79.35264943878883,16.78412947011224,4012.0,8.955555555555556,311.0,-0.4883825851567787,0.8591635585549814,0.0,90
17,169884281,,https://www.wildberries.ru/catalog/169884281/detail.aspx,3401.0,2023-07-21,1074,2023-07-21T10:15:08.523101Z,2026-06-23T12:46:14.292152Z,141306040,Блендер погружной измельчитель 3 в 1 SC-HB42F35,ok,https://basket-12.wbbasket.ru/vol1698/part169884/169884281/info/ru/card.json,3401.0,4.8,Блендер погружной измельчитель 3 в 1 SC-HB42F35,Scarlett,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,57.178,0.5328,0.5604,0.627,0.7409999999999999,0.4,3194.0,6233215.0,2702.0,5284184.0,2637938.0,93720.0,13631.0,1.2107941884911624,3.5527749325420084,14.544387537345283,3.408023900981647,84.59611772072635,12.58609893550407,1443.0,17.6,652.0,0.1345826235093696,-0.1384072341201232,0.0,90
18,232842874,,https://www.wildberries.ru/catalog/232842874/detail.aspx,2667.0,2024-05-22,768,2024-05-22T12:41:13.732362Z,2026-05-06T08:33:27.150004Z,422295831,Блендер стационарный настольный для смузи CT-1304,ok,https://basket-15.wbbasket.ru/vol2328/part232842/232842874/info/ru/card.json,2667.0,4.4,Блендер стационарный настольный для смузи CT-1304,Centek,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,57.111,0.5376000000000001,0.576,0.268,0.765,0.84,2197.0,9339906.0,1604.0,6814560.0,1720019.0,93310.0,11662.0,1.277311471559326,5.4249400733363995,12.498124531132785,2.3545172007287536,73.00864815657715,18.66181156121985,3116.0,7.4,370.0,0.0239999999999999,1.977642638138192,0.0,90
19,874385114,,https://www.wildberries.ru/catalog/874385114/detail.aspx,298.0,2026-03-09,112,2026-03-09T10:21:52.686356Z,2026-06-01T09:55:20.322485Z,996456474,Блендер погружной мощный 4в1,ok,https://basket-39.wbbasket.ru/vol8743/part874385/874385114/info/ru/card.json,298.0,4.8,Блендер погружной мощный 4в1,TOMMY ARIKO,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,56.298,0.7508,0.4088,0.556,0.244,0.78,3470.0,10217890.0,2986.0,8793646.0,4866833.0,138055.0,19492.0,0.7129893300222135,2.836649624098464,14.119010539277824,2.5134909999637824,86.05187319884726,10.979827089337176,2301.5,18.701149425287355,221.0,-0.3398876404494381,-0.5526217692027666,0.0777777777777777,90
20,897114209,,https://www.wildberries.ru/catalog/897114209/detail.aspx,403.0,2026-03-18,103,2026-03-18T21:28:57.430993Z,2026-06-25T13:25:23.27003Z,1094330875,Блендер погружной мощный 5 в 1 с чашей и капучинатором,ok,https://basket-39.wbbasket.ru/vol8971/part897114/897114209/info/ru/card.json,403.0,4.9,Блендер погружной мощный 5 в 1 с чашей и капучинатором,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,56.249,0.4204,0.5344,0.691,0.614,0.86,1998.0,6784558.0,1662.0,5632071.0,1682073.0,71381.0,9712.0,1.187820029213952,4.2436327079740295,13.605861503761504,2.7990641767417097,83.18318318318319,10.61061061061061,3099.0,23.2,334.0,0.0642201834862385,-0.3552325897236787,0.0,90
21,565176983,,https://www.wildberries.ru/catalog/565176983/detail.aspx,2206.0,2025-10-13,259,2025-10-13T18:44:45.837781Z,2026-06-22T15:47:38.377643Z,2690385424,Погружной блендер мощный для измельчения без насадок,ok,https://basket-29.wbbasket.ru/vol5651/part565176/565176983/info/ru/card.json,2206.0,4.9,Погружной блендер мощный для измельчения без насадок,Tech & Design,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,55.657999999999994,0.4708,0.568,0.785,0.507,0.56,2583.0,6374502.0,2342.0,5760392.0,1725497.0,86733.0,11315.0,1.4969600063054298,5.026551770301542,13.045784188255912,2.978105219466639,90.66976384049556,12.311265969802555,1800.0,19.85555555555555,313.0,-0.1506493506493506,-0.5541805137540299,0.0,90
22,844743357,,https://www.wildberries.ru/catalog/844743357/detail.aspx,855.0,2026-02-23,126,2026-02-23T12:04:08.026913Z,2026-06-19T12:58:41.241824Z,426518333,Блендер портативный для смузи и коктейлей,ok,https://basket-38.wbbasket.ru/vol8447/part844743/844743357/info/ru/card.json,855.0,4.9,Блендер портативный для смузи и коктейлей,UNIQUENITY,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,55.45,0.57,0.6815999999999999,0.296,0.628,0.46,3373.0,7303147.0,2626.0,5716589.0,1941679.0,99722.0,16504.0,1.7371563476764182,5.135864373050334,16.55000902508975,3.382403080563968,77.85354284020161,14.141713608064038,1646.5,11.88888888888889,805.0,0.0024479804161567,-0.1470366121980789,0.0111111111111111,90
23,17661407,,https://www.wildberries.ru/catalog/17661407/detail.aspx,18438.0,2020-12-08,2029,2020-12-08T20:25:26Z,2026-06-03T07:37:08.571578Z,13151272,Блендер погружной PHB 1385 ручной с насадками,ok,https://basket-02.wbbasket.ru/vol176/part17661/17661407/info/ru/card.json,18438.0,4.9,Блендер погружной PHB 1385 ручной с насадками,POLARIS,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,53.61,0.518,0.4676,0.661,0.485,0.66,1859.0,8690085.0,1665.0,7754890.0,1924785.0,78242.0,9486.0,0.9658221567603654,4.064973490545698,12.123923212596816,2.37596175966872,89.56428187197419,12.47982786444325,3488.0,13.511111111111113,151.0,-0.0983606557377048,0.0910474460399232,0.0,90
24,445935924,,https://www.wildberries.ru/catalog/445935924/detail.aspx,1829.0,2025-06-19,375,2025-06-19T08:11:14.287637Z,2026-06-25T09:21:15.598931Z,606155304,Блендер стационарный мощный для смузи коктейлей измельчения,ok,https://basket-25.wbbasket.ru/vol4459/part445935/445935924/info/ru/card.json,1829.0,4.7,Блендер стационарный мощный для смузи коктейлей измельчения,FELFRI,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,53.501,0.5075999999999999,0.3272,0.679,0.678,0.72,1565.0,6892360.0,1440.0,6327524.0,4577929.0,87317.0,12130.0,0.3418576391202222,1.907347186904821,13.891911082607052,1.7923199376982717,92.01277955271566,12.587859424920127,3323.0,13.977777777777778,310.0,0.2806324110671935,1.8358533732874869,0.0,90
